Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
adiós,es,adios spelling,8,,,,,c
guapo,es,handsome,8,,,c,,
guapa,es,guapo inf,8,,,c,,
bella,es,beautiful,8,,,c,,
chica,es,girl,8,c,,,,
chico,es,boy,8,c,,,,
chicas,es,chica inf,8,c,,,,
chicos,es,chica inf,8,c,,,,
guérilla,es,guerrilla war,6,c,,,,
guitare,es,guitar,"4,10",c,,,,
guitares,es,guitar inf,"4,10",c,,,,
hamac,est,hammock,4,c,,,,
amigo,es,friend,8,c,,,,
igo,es,amigo shortening,8,c,,,,
machette,es,machete,6,c,,,,
macho,es,very masculine,1,c,,,,
dinero,es,money,4,c,,,,
dineros,es,dinero inf,4,c,,,,
manille,es,manille card game,9,c,,,,
marron,es,wild/crooked/brown,9,c,,c,,
maté,esq,NOUN south american tea,3,c,,,,
mater,es,VERB to check out/also to chekcmate,9,,c,,,
mezcal,esa,mescal,3,c,,,,
mirador,es,viewpoint/watchtower,6,c,,,,
miradors,es,mirador inf,6,c,,,,
mulâtre,es,mulatto,1,c,,,,
nègre,es,negro (dated and offensive),1,c,,c,,
nègres,es,nègre inf,1,c,,c,,
négro,es,the n word,"1,8",c,,,,
palabres,es,discussions,9,c,,,,
pastille,es,pastilles (medicinal/candy),3,c,,,,
patate,est,(sweet) potato but actually a lot of things,"3,6,8",c,,,,
patates,est,patate inf,"3,6,8",c,,,,
pépite,es,nugget/gem/treasure,4,c,,,,
pirogue,es,skinny canoe,4,c,,,,
platine,es,platinum,4,c,,,,
platines,es,platine inf,4,c,,,,
puta,es,bitch/whore/slut,"1,7",c,,,,
putas,es,puta inf,"1,7",c,,,,
boca,es,mouth,9,c,,,,
raton,es,rat/racoon/slur for algerian/arab,1,c,,,,
résille,es,hairnet,4,c,,,,
résilles,es,résille inf,4,c,,,,
rumba,es,rumba (dance),9,c,,,,
salsa,es,sauce or music style,"3,10",c,,,,
swing,en,jazz style or physically swinging,"9,10",c,c,,,
savane,est,savanna,5,c,,,,
sieste,es,nap/siesta,9,c,,,,
tabac,es,tabacco,3,c,,c,,
tanga,es,thong/g-string,7,c,,,,
benga,lo,kenya music genre at end of 40s,10,c,,,,
tequila,es,tequila (drink),3,c,,,,
toréador,es,toreador (bullfighting),1,c,,,,
vanille,es,vanilla (also meaning normal/undaring),"3,8",c,,,,
vanilla,es,vanille spelling,"3,8",c,,,,
ale,en,ale,3,c,,,,
bad,en,bad not following rules,"7,8,9",,,c,,
good,en,good,9,,,c,,
woke,ve,"overtly socially aware, participle of wake","8,9",,c,c,,
girl,en,girl plus connotations,"1,8",c,,,,
gyal,jc,girl spelling,"1,8",c,,,,
boy,en,boy plus connotations,"1,8",c,,,,
boys,en,boy inf,"1,8",c,,,,
boyz,ve,boy inf,"1,8",c,,,,
girls,en,girl inf,"1,8",c,,,,
friend,en,friend,8,c,,,,
friends,en,friend inf,8,c,,,,
nudes,en,nude photos,7,c,,,,
kiffe,ma,kiffer inf,"3,8",,c,,,
dude,en,dude,8,c,,,,
doobie,en,marijuana cigarette,3,c,,,,
joint,en,joint (marijuana cigarette),3,c,,,,
best,en,best,9,c,,,c,
book,en,book but also to schedule,4,c,,,,
store,en,store,5,c,,,,
stores,en,store inf,5,c,,,,
story,en,story,9,c,,,,
stories,en,story inf,9,c,,,,
boom,en,boom,8,c,,,,c
smurf,en,breakdance,10,c,c,,,
break,en,break,9,c,,,,
chips,en,chips,3,c,,,,
clown,en,clown or person acting funny,"2,8",c,,,,
clowns,en,clown inf,"2,8",c,,,,
cool,en,cool,8,,,c,,
dance,en,dance,10,c,,,,
party,en,party,9,c,,,,
parties,en,party inf,9,c,,,,
